datetime,symbol,open,high,low,close,volume,ema_fast,ema_slow,rsi
2011-07-18 09:15:00,NSE:BAJFINANCE,72.1,72.790002,71.7,72.125,1510490.0,64.81442224927267,62.289000300000005,75.97027752975555
2011-07-19 09:15:00,NSE:BAJFINANCE,72.329999,78.0,71.809998,73.829999,2082100.0,65.6730486064848,62.74158848431373,78.35987290114619
2011-07-20 09:15:00,NSE:BAJFINANCE,74.95,75.475,71.5,72.725,489180.0,66.34466302491482,63.13309481826221,73.27419217280787
2011-07-21 09:15:00,NSE:BAJFINANCE,73.0,73.0,70.2,71.179999,346730.0,66.80517121301817,63.44865968813428,66.7509379344953
2011-07-22 09:15:00,NSE:BAJFINANCE,72.0,73.079999,71.3,72.720001,673500.0,67.36848833558787,63.812241700364304,69.6511680029229
2011-07-25 09:15:00,NSE:BAJFINANCE,73.440002,73.440002,71.9,72.545001,876270.0,67.86148954172236,64.15470284936963,68.91551752535176
2011-07-26 09:15:00,NSE:BAJFINANCE,71.954999,73.779999,70.109998,70.6,418550.0,68.12230006155833,64.40745960037474,61.18111186545339
2011-07-27 09:15:00,NSE:BAJFINANCE,70.6,72.379999,70.009998,70.515002,351390.0,68.35017643664801,64.64697106702671,60.85966216659015
2011-07-28 09:15:00,NSE:BAJFINANCE,70.5,71.5,69.0,69.3,229370.0,68.44063582363391,64.8294427898884,56.30558774527962
2011-07-29 09:15:00,NSE:BAJFINANCE,68.009998,70.465002,68.009998,70.065002,60530.0,68.59533736424021,65.03475883734376,58.41553669704105
2011-08-01 09:15:00,NSE:BAJFINANCE,70.009998,71.6,69.3,71.015002,122530.0,68.82578161526494,65.26927817705577,60.93811666618526
2011-08-02 09:15:00,NSE:BAJFINANCE,69.4,71.479999,69.4,71.190002,426540.0,69.05094546143019,65.50146342501436,61.402600934099716
2011-08-03 09:15:00,NSE:BAJFINANCE,68.009998,71.075,67.3,68.9,280620.0,69.03656970319874,65.63473936913145,52.590010542202805
2011-08-04 09:15:00,NSE:BAJFINANCE,69.0,70.459998,68.0,68.215002,107250.0,68.95832516003695,65.73592613896943,50.26604513576369
2011-08-05 09:15:00,NSE:BAJFINANCE,67.1,69.7,65.1,68.984998,227090.0,68.96086543050963,65.86334072175495,52.791449441953596
2011-08-08 09:15:00,NSE:BAJFINANCE,66.5,68.490002,65.0,67.815002,280950.0,68.8517355799849,65.93987645815672,48.741432836210855
2011-08-09 09:15:00,NSE:BAJFINANCE,66.5,68.875,64.409998,67.1,1668810.0,68.68490361998634,65.98537149901331,46.39878303953689
2011-08-10 09:15:00,NSE:BAJFINANCE,67.104999,70.0,67.104999,69.790002,1108110.0,68.79015108474955,66.13457269513043,55.13539348654478
2011-08-11 09:15:00,NSE:BAJFINANCE,67.1,70.695001,67.1,68.704999,44260.0,68.78204136239245,66.23537372669394,51.48992302488007
2011-08-12 09:15:00,NSE:BAJFINANCE,71.090002,72.475,68.025,70.840002,430280.0,68.97803761359317,66.41594738447064,57.45148118700571
2011-08-16 09:15:00,NSE:BAJFINANCE,71.0,71.490002,69.020001,70.145001,240880.0,69.08917698372716,66.56218478115807,55.078566766882275
2011-08-17 09:15:00,NSE:BAJFINANCE,71.0,71.7,68.234998,69.309998,248680.0,69.11020755670552,66.66994216228912,52.284473648992666
2011-08-18 09:15:00,NSE:BAJFINANCE,70.2,70.2,65.695001,67.345001,262150.0,68.94209264654309,66.69641505788562,46.328351069851934
2011-08-19 09:15:00,NSE:BAJFINANCE,66.5,66.8,62.8,63.765002,705410.0,68.44903639449137,66.58145768306657,37.865124414215614
2011-08-22 09:15:00,NSE:BAJFINANCE,64.479999,64.479999,62.515002,63.759998,71930.0,68.00246130930172,66.47081220529925,37.85471495451068
2011-08-23 09:15:00,NSE:BAJFINANCE,63.8,66.0,62.9,65.795001,117580.0,67.79222699413013,66.44430980509144,44.53287595177601
2011-08-24 09:15:00,NSE:BAJFINANCE,66.9,67.2,63.3,63.95,113540.0,67.42630061373679,66.34649373430354,40.30410451574634
2011-08-25 09:15:00,NSE:BAJFINANCE,64.509998,64.509998,63.0,63.195001,238030.0,67.0233196981428,66.22290578393869,38.68523028620835
2011-08-26 09:15:00,NSE:BAJFINANCE,62.2,64.8,61.604999,62.220001,74860.0,66.56586077451016,66.06592912574501,36.63857219441407
2011-08-29 09:15:00,NSE:BAJFINANCE,62.6,64.195001,60.315002,61.184998,1078650.0,66.05339765312824,65.87452006199031,34.54900050984853
2011-08-30 09:15:00,NSE:BAJFINANCE,61.6,63.0,59.4,61.525,474610.0,65.62212168616365,65.70395064779461,35.84344758451154
2011-09-02 09:15:00,NSE:BAJFINANCE,62.5,63.720001,60.8,62.884998,312000.0,65.36144323986235,65.59340348513601,40.8801128966448
2011-09-05 09:15:00,NSE:BAJFINANCE,62.5,62.895001,61.309998,62.490002,108250.0,65.08797264558974,65.47170146611107,39.90035682055942
2011-09-06 09:15:00,NSE:BAJFINANCE,62.490002,62.9,60.925,62.534998,116400.0,64.84483220315262,65.35653662430279,40.07654170347099
2011-09-07 09:15:00,NSE:BAJFINANCE,61.809998,64.390002,61.809998,62.925,106090.0,64.66199104094761,65.26118224687916,41.672593653311004
2011-09-08 09:15:00,NSE:BAJFINANCE,63.0,63.609998,62.2,63.309998,155770.0,64.5332297989526,65.18466521758978,43.27869408037374
2011-09-09 09:15:00,NSE:BAJFINANCE,63.025,66.7,63.025,65.290002,477840.0,64.6053033419095,65.18879607180195,50.78445323202626
2011-09-12 09:15:00,NSE:BAJFINANCE,65.0,65.4,63.515002,64.345001,601300.0,64.58051264268003,65.15570606898618,47.550356089816304
2011-09-13 09:15:00,NSE:BAJFINANCE,65.679999,65.690002,62.579999,63.454999,103370.0,64.4733208671867,65.08901167412398,44.6654143656468
2011-09-14 09:15:00,NSE:BAJFINANCE,63.690002,64.2,63.104999,63.240002,32800.0,64.35586192745464,65.01650149082501,43.97138237193426
2011-09-15 09:15:00,NSE:BAJFINANCE,63.990002,63.990002,63.0,63.184998,39540.0,64.24435107722087,64.94467782451814,43.78393924818807
2011-09-16 09:15:00,NSE:BAJFINANCE,63.0,63.8,62.609998,63.0,39540.0,64.12584145081888,64.86841594904683,43.118179923857866
2011-09-19 09:15:00,NSE:BAJFINANCE,63.984998,64.779999,63.334998,64.1,199930.0,64.1233803602647,64.83828199026068,48.165191054438026
2011-09-20 09:15:00,NSE:BAJFINANCE,63.554999,64.879999,63.309998,63.765002,36970.0,64.08924908785855,64.7961925788779,46.80321132737646
2011-09-21 09:15:00,NSE:BAJFINANCE,65.0,65.4,63.7,64.579999,147130.0,64.13598717472917,64.78771439931407,50.47250284423684
2011-09-22 09:15:00,NSE:BAJFINANCE,64.45,64.8,62.5,62.85,164720.0,64.01351220570734,64.71172559934097,43.59804652693571
2011-09-23 09:15:00,NSE:BAJFINANCE,62.7,66.6,62.2,65.375,242960.0,64.1431777099257,64.73773636015112,53.54360612773302
2011-09-26 09:15:00,NSE:BAJFINANCE,65.979999,65.979999,62.5,63.784998,46660.0,64.10906535659944,64.70037407151774,47.8247548523815
2011-09-27 09:15:00,NSE:BAJFINANCE,64.0,64.6,63.270001,63.634998,169050.0,64.06391608454236,64.65859461773273,47.31136774232063
2011-09-28 09:15:00,NSE:BAJFINANCE,64.2,64.584998,62.604999,63.320001,66670.0,63.99306702887166,64.60610075037066,46.19002028466043
2011-09-29 09:15:00,NSE:BAJFINANCE,62.620001,64.5,62.3,63.204999,182910.0,63.91801293088388,64.55115558368945,45.76356042105712
2011-09-30 09:15:00,NSE:BAJFINANCE,64.225,64.290002,62.840002,63.470001,35090.0,63.87534512794256,64.50875736472123,46.978379077322614
